ID, SigID, X, Y, P,al,az, signatureOrigin
User10,17,13.62391965491892,23.013657653558305,41.93259137903361,35.60880675151815,40.82062113900523,Genuine
User10,18,10.153470086174808,20.784902731308883,49.19186201619242,31.73534998680558,52.808543826439994,Genuine
User10,19,11.335178719386542,20.220857706263324,46.752433408790466,35.08111124377663,42.722223557800056,Genuine
User10,20,11.14293224316403,26.393442185406677,42.8657792702772,31.203751756550744,78.73775009217343,Genuine
User10,37,14.51929303867891,18.017219865564364,46.217341814635034,35.31839319328477,101.24872873210721,Forged
User10,38,17.006105185659294,23.10847385640789,46.77039294607704,48.20727195322514,97.85750392894288,Forged
User10,39,17.217068910726397,32.00515328571407,47.9369955806301,114.02248834267863,134.5585000342921,Forged
User10,40,17.06016081930899,26.81659840121515,51.08444486159863,104.70392835602367,105.80170801965781,Forged
User11,17,7.592438221732227,10.847337497896076,20.714642670030113,47.955526708527486,69.92105576369755,Genuine
User11,18,7.476266355437957,13.20640523513226,13.581975980288547,40.778391146650584,64.18752772179471,Genuine
User11,19,6.649167198881794,13.153234317291135,18.606897547609858,39.69531961585484,70.67149229350875,Genuine
User11,20,9.590878743351016,14.419649111611132,17.482579586783867,48.51856185291298,55.674190649949594,Genuine
User11,37,5.844954144848992,17.988701992392084,47.6324075152202,75.84968768172394,72.57021136882767,Forged
User11,38,8.596474808588983,18.383963025717748,29.65240467642586,68.25544607859167,84.93070360002486,Forged
User11,39,7.868996257862096,16.400887875352193,52.805791376930244,67.64969844593335,75.11669996011709,Forged
User11,40,7.019938022494758,16.40584932475763,38.51930838627804,70.14834162676257,70.30473658545743,Forged
User12,17,7.389058986889356,17.97737640077893,39.10256722404522,87.18699232586091,91.2175853730274,Genuine
User12,18,6.140073584800643,18.470761259392155,41.125723060966976,94.22612588582568,85.55416827846429,Genuine
User12,19,9.167380212432715,17.765303823830003,47.51041678192999,106.23322175301942,115.3667913522625,Genuine
User12,20,7.692679371239753,12.768150978732885,42.76694782571868,118.21275305605914,175.42134344694395,Genuine
User12,37,15.000194930974375,40.481019615454606,50.079064896955195,138.12982344862,85.59120705523173,Forged
User12,38,11.575345350057304,38.84099796545817,60.86242112264098,134.08608733712498,75.56229899422213,Forged
User12,39,20.697543381525893,39.54757773298162,58.35364383374123,138.86736460800984,97.6831667611643,Forged
User12,40,14.206182699430741,41.9241818260722,54.356421043364556,141.26124244448584,67.87772732980754,Forged
User13,17,13.804232151855205,38.97731490028325,45.00475158596718,55.94343160065161,91.08494419035772,Genuine
User13,18,12.405177457158477,53.86348058175095,44.89811242272106,66.40719004472656,107.09503977362952,Genuine
User13,19,9.34895600847694,33.341877261098915,47.04357372271552,55.67298090542797,94.88273044907008,Genuine
User13,20,12.670094095352942,34.08215639252266,50.6240305387896,44.214581067631016,81.29306809249454,Genuine
User13,37,9.055498618215534,52.01154808924044,63.959608597189195,61.517957775220694,222.72392803632587,Forged
User13,38,9.112249852943275,61.36540300824404,62.54188871318167,70.9135345182174,217.83672809555785,Forged
User13,39,8.11374707331707,65.29132484202867,71.92268874766808,60.11145957630604,184.4793253270482,Forged
User13,40,12.461794548969216,59.65139740900639,76.28217331515788,48.02974201675413,196.54119676219526,Forged
User14,17,7.122032437039069,26.345149550388243,45.58982478001399,61.04399689491406,72.63178051382441,Genuine
User14,18,12.331154731867404,26.623775113258098,49.66240590936171,91.40789331646803,100.28026369122269,Genuine
User14,19,15.617760732040544,26.077360508455328,41.36264433760695,84.16267438310928,90.89032178738952,Genuine
User14,20,9.678580978106249,24.08328447930138,40.84721230699023,66.1105415455372,91.03855494577262,Genuine
User14,37,10.717637141905724,41.2192483031029,62.43830239568654,93.0562750913995,99.99409595738027,Forged
User14,38,16.408770037850363,29.53090632425247,64.68440893196603,81.55894091425404,130.66239926192594,Forged
User14,39,12.73281958138311,39.69312529002488,62.27040384303269,109.60890883364561,83.08139717432084,Forged
User14,40,14.625833502239018,41.35475118273309,62.57412312189634,98.02799205723909,89.88772477478767,Forged
User15,17,11.054247581151746,36.703322654130616,79.21362184267493,141.0382756570398,33.3126842717233,Genuine
User15,18,10.244974750658814,31.495995534940374,76.22340766220499,146.81184329458262,42.896125695552854,Genuine
User15,19,9.326736406719341,40.85615329179017,85.41244305345077,144.4522616137384,28.434346862041824,Genuine
User15,20,8.521584896094494,39.16128748917618,88.68770259902412,125.50898008810185,58.25522582390682,Genuine
User15,37,13.161695822565289,64.27252312742849,75.62639867544034,133.7696685095873,72.75795580008094,Forged
User15,38,12.755333584293963,54.02329655863164,88.09518117442076,106.78050572413143,151.11130787638268,Forged
User15,39,15.937385528422427,61.32000822654209,73.65681753072964,160.4688355434217,134.20250560300485,Forged
User15,40,11.126508888389992,56.66162746669714,92.03385736129043,155.8738769511537,108.06641517654646,Forged
User16,17,14.921464267540955,20.50433251199425,47.381614148258606,105.59457692162215,52.06776535832336,Genuine
User16,18,7.697562274512265,16.777929567862905,57.45889645430029,95.4382611384958,47.6710098910507,Genuine
User16,19,7.820534293470005,15.141149394444234,60.9697282250087,77.61572171896026,60.196998020814114,Genuine
User16,20,10.047943706289901,17.063769045152334,49.7140754330762,81.20793615853911,48.58423605889104,Genuine
User16,37,20.93752799185945,34.18991344178461,64.73263386221177,78.44810850133463,93.39469780907093,Forged
